id,date,price,bedrooms,bathrooms,floors,waterfront,condition,grade,yr_built,yr_renovated,zipcode,lat,long
7129300520,20141013T000000,221900,3,1,1,0,3,7,1955,0,98178,47.5112,-122.257
6414100192,20141209T000000,538000,3,2.25,2,0,3,7,1951,1991,98125,47.721,-122.319
5631500400,20150225T000000,180000,2,1,1,0,3,6,1933,0,98028,47.7379,-122.233
2487200875,20141209T000000,604000,4,3,1,0,5,7,1965,0,98136,47.5208,-122.393
1954400510,20150218T000000,510000,3,2,1,0,3,8,1987,0,98074,47.6168,-122.045
7237550310,20140512T000000,1.23E+06,4,4.5,1,0,3,11,2001,0,98053,47.6561,-122.005
1321400060,20140627T000000,257500,3,2.25,2,0,3,7,1995,0,98003,47.3097,-122.327
2008000270,20150115T000000,291850,3,1.5,1,0,3,7,1963,0,98198,47.4095,-122.315
2414600126,20150415T000000,229500,3,1,1,0,3,7,1960,0,98146,47.5123,-122.337
3793500160,20150312T000000,323000,3,2.5,2,0,3,7,2003,0,98038,47.3684,-122.031
1736800520,20150403T000000,662500,3,2.5,1,0,3,8,1965,0,98007,47.6007,-122.145
9212900260,20140527T000000,468000,2,1,1,0,4,7,1942,0,98115,47.69,-122.292
114101516,20140528T000000,310000,3,1,1.5,0,4,7,1927,0,98028,47.7558,-122.229
6054650070,20141007T000000,400000,3,1.75,1,0,4,7,1977,0,98074,47.6127,-122.045
1175000570,20150312T000000,530000,5,2,1.5,0,3,7,1900,0,98107,47.67,-122.394
9297300055,20150124T000000,650000,4,3,2,0,3,9,1979,0,98126,47.5714,-122.375
1875500060,20140731T000000,395000,3,2,2,0,3,7,1994,0,98019,47.7277,-121.962
6865200140,20140529T000000,485000,4,1,1.5,0,4,7,1916,0,98103,47.6648,-122.343
16000397,20141205T000000,189000,2,1,1,0,4,7,1921,0,98002,47.3089,-122.21
7983200060,20150424T000000,230000,3,1,1,0,4,7,1969,0,98003,47.3343,-122.306
6300500875,20140514T000000,385000,4,1.75,1,0,4,7,1947,0,98133,47.7025,-122.341
2524049179,20140826T000000,2.00E+06,3,2.75,1,0,3,9,1968,0,98040,47.5316,-122.233
7137970340,20140703T000000,285000,5,2.5,2,0,3,8,1995,0,98092,47.3266,-122.169
8091400200,20140516T000000,252700,2,1.5,1,0,3,7,1985,0,98030,47.3533,-122.166
3814700200,20141120T000000,329000,3,2.25,2,0,4,8,1985,0,98030,47.3739,-122.172
1202000200,20141103T000000,233000,3,2,1.5,0,5,6,1941,0,98002,47.3048,-122.218
1794500383,20140626T000000,937000,3,1.75,2,0,3,8,1915,0,98119,47.6386,-122.36
3303700376,20141201T000000,667000,3,1,1.5,0,5,8,1909,0,98112,47.6221,-122.314
5101402488,20140624T000000,438000,3,1.75,1,0,3,7,1948,0,98115,47.695,-122.304
1873100390,20150302T000000,719000,4,2.5,2,0,3,8,2005,0,98052,47.7073,-122.11
8562750320,20141110T000000,580500,3,2.5,2,0,3,8,2003,0,98027,47.5391,-122.07
2426039314,20141201T000000,280000,2,1.5,3,0,3,7,2005,0,98133,47.7274,-122.357
461000390,20140624T000000,687500,4,1.75,1.5,0,4,7,1929,0,98117,47.6823,-122.368
7589200193,20141110T000000,535000,3,1,1.5,0,4,8,1929,0,98117,47.6889,-122.375
7955080270,20141203T000000,322500,4,2.75,1,0,3,7,1981,0,98058,47.4276,-122.157
